case;set;source;sex;age;agecat;education;profstatus;position;si1;si2;si3;si17;si13;si14;si15;si4;si25;si5;si26;si6;si27;si28;si7;si18;si20;si21;si9;si10;si11;si22;si8;si23;si19;si16;si29;si30;si12;si24;si31;si32
59;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;4;5;5;5;5;3;5;4;5;5;5;5;4;2;6;3;5;4;5;6;5;5;1;;5;5;5
569;validation;daycare;female; ; ;academic;working;employee;4;3;4;4;5;5;4;4;6;;4;4;3;3;5;4;4;4;3;4;4;4;4;3;4;4;4;3;4;4;4;3
800;validation;daycare;female; ; ;collegevocational;working;employee;3;4;4;4;3;3;4;4;4;4;4;4;3;4;4;3;4;4;3;4;3;4;3;3;2;3;4;1;4;3;3;4
349;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;5;5;5;5;4;5;4;4;5;4;5;4;5;4;2;6;2;5;5;4;5;5;4;0;0;6;5;5
951;validation;daycare;female; ; ;collegevocational;working;manager;5;4;5;6;6;6;6;5;6;5;6;5;5;5;6;4;5;6;1;5;2;6;6;4;6;5;6;0;1;5;4;6
311;validation;student;female;21-25;young;academic;student; ;3;5;3;3;4;3;4;2;2;5;4;5;2;4;4;3;3;3;3;4;3;2;4;3;4;3;2;3;5;5;5;2
229;validation;company;female;36-45;old; ;working;employee;2;3;4;4;5;5;5;4;5;3;4;3;3;3;4;2;2;2;2;5;2;4;4;2;3;5;5;1;2;3;3;4
99;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;5;4;5;5;5;5;5;4;4;4;5;3;4;5;2;4;3;5;5;4;4;4;5;1;2;4;4;4
554;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;6;4;5;5;4;4;4;4;5;3;5;4;5;5;;0;6;1;5;6;5;5;4;5;1;1;5;5;4
683;validation;daycare;female; ; ;collegevocational;working;employee;5;4;5;5;5;4;4;5;4;5;3;5;3;4;5;4;5;4;2;4;1;4;5;4;5;4;4;3;2;3;4;4
139;validation;student;female;16-20;young;academic;student; ;4;5;4;4;6;3;3;3;4;5;3;5;3;3;4;4;4;5;3;6;2;5;5;3;4;4;5;0;2;5;4;5
899;validation;daycare;female; ; ; ;working;employee;6;6;6;6;6;6;6;6;6;6;0;6;6;6;5;6;6;6;0;6;0;6;5;6;6;6;6;0;0;6;6;6
1 206;validation;student;female;56-65;old;academic;working; ;4;5;5;4;3;4;2;5;3;6;5;5;5;5;5;4;4;5;1;6;0;5;6;4;6;3;5;2;1;5;5;4
390;validation;daycare;female; ; ;collegevocational;working;employee;5;5;4;6;;5;6;5;5;5;5;5;5;4;5;5;5;5;1;5;1;5;5;4;5;5;5;1;1;5;5;5
1 006;validation;daycare;female; ; ;collegevocational;working;employee;3;3;3;4;4;3;4;3;3;4;4;4;3;3;4;3;3;4;4;4;3;4;3;3;4;3;4;2;3;4;4;3
198;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;5;5;4;4;5;5;4;5;5;4;5;4;4;4;1;5;2;5;5;4;4;5;5;2;1;5;5;5
467;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;;5;5;5;4;5;5;5;5;5;5;6;4;2;6;2;5;5;4;5;5;5;1;1;5;5;5
334;validation;daycare;female; ; ;collegevocational;working;manager;5;6;5;6;6;5;6;5;6;6;5;6;5;6;5;5;6;5;2;6;2;5;5;4;6;5;5;1;1;5;5;6
1 170;validation;company;female;26-30;young; ;working;employee;4;3;4;6;5;4;5;3;5;5;4;5;4;4;5;3;3;4;3;5;3;4;5;3;5;3;4;3;2;5;2;4
939;validation;student;female;26-30;young;academic;working; ;3;4;4;5;5;3;5;4;3;5;5;6;3;4;5;3;4;4;3;5;3;4;6;4;4;4;5;2;3;5;4;4
583;validation;student;female;31-35;old;academic;student; ;4;4;4;4;5;5;3;4;3;3;4;4;3;3;3;4;4;2;3;5;1;6;5;3;4;4;4;1;2;4;3;6
703;validation;student;female;21-25;young;academic;student; ;4;5;4;5;3;4;6;5;2;5;4;5;3;3;4;2;4;6;3;6;6;6;5;5;5;4;5;2;3;5;4;5
884;validation;daycare;female; ; ;collegevocational;working;employee;5;4;4;4;3;3;3;5;4;4;3;4;4;5;4;4;5;4;1;5;3;5;4;4;4;4;5;1;1;5;5;4
906;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;4;5;4;4;4;4;5;5;5;4;3;5;4;4;4;4;5;2;4;5;4;5;5;5;1;1;4;5;5
634;validation;daycare;female; ; ;academic;working;employee;4;3;4;6;5;3;4;4;6;6;5;5;4;4;5;4;3;6;3;4;3;4;5;3;4;4;4;3;3;4;3;3
758;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;5;4;6;4;6;5;5;5;4;5;5;4;5;5;3;3;4;5;5;5;5;5;3;1;3;5;4;4
848;validation;company;female;36-45;old; ;working;employee;4;5;5;5;4;4;4;4;4;5;5;6;5;5;5;4;5;5;1;5;2;5;6;4;5;4;5;1;1;5;4;5
461;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;4;5;4;4;6;5;5;6;5;4;5;5;5;5;1;5;1;5;4;4;5;5;4;0;1;4;5;5
995;validation;daycare;female; ; ;academic;working;manager;6;5;5;6;6;6;6;6;6;5;4;5;5;5;6;5;6;6;1;6;0;6;4;4;5;5;6;0;0;5;5;6
658;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;3;4;3;4;4;4;4;4;3;5;3;5;3;4;3;3;5;2;5;5;3;4;5;5;1;2;5;4;5
168;validation;student;female;21-25;young;collegevocational;student; ;5;4;5;6;6;5;6;5;5;5;6;4;5;5;5;5;6;5;2;4;1;3;5;4;5;5;4;1;2;5;5;3
36;validation;company;female;36-45;old; ;working; ;3;3;4;4;2;3;3;2;6;6;5;;1;3;6;2;2;4;2;4;3;3;6;3;2;3;3;3;2;5;;3
164;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;5;;5;4;5;5;5;5;4;5;4;;5;6;1;6;1;5;5;3;4;5;5;1;0;4;4;5
723;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;4;5;4;5;3;4;5;3;4;3;3;4;4;4;2;2;5;3;3;4;4;4;5;5;1;3;5;4;5
96;validation;student;female;21-25;young;collegevocational;student; ;4;4;3;3;4;3;4;4;2;2;3;3;3;4;4;4;4;4;2;3;3;4;3;2;3;3;3;1;2;3;4;3
756;validation;daycare;female; ; ; ;working;employee;4;4;4;4;5;4;5;4;4;4;4;5;4;4;4;1;3;5;1;5;1;4;4;4;4;4;5;1;1;4;4;4
362;validation;company;female;56-65;old; ;working;employee;3;4;3;3;3;4;4;4;4;4;4;4;3;3;4;3;4;3;3;4;1;4;4;3;4;3;4;1;2;3;4;3
689;validation;company;female;36-45;old; ;working;employee;4;4;5;4;6;5;6;4;4;5;6;5;3;;6;3;5;6;3;5;3;6;5;4;4;4;6;2;1;6;5;4
405;validation;daycare;female; ; ;collegevocational;working;employee;5;4;5;5;6;6;6;5;4;6;3;6;5;5;5;4;5;6;3;5;3;5;6;4;6;4;6;0;0;5;5;4
1 021;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;4;4;6;4;6;5;3;4;3;4;6;3;5;4;3;5;2;4;5;4;4;4;5;4;2;4;4;4
1 155;validation;daycare;female; ; ;collegevocational;working;manager;5;4;4;5;6;6;6;4;5;4;4;4;3;4;5;5;5;4;3;6;2;3;5;4;6;5;5;1;3;4;4;5
428;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;3;4;4;4;5;4;3;5;3;4;4;3;3;3;2;5;1;5;6;4;5;4;4;2;1;4;5;4
429;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;3;4;4;4;4;4;4;5;4;3;4;4;4;3;3;4;5;4;4;4;4;4;5;2;3;4;5;4
296;validation;student;female;26-30;young;academic;student; ;3;4;3;3;4;4;5;3;3;3;4;4;2;2;4;4;4;3;4;4;3;4;3;3;4;4;4;1;2;3;4;5
1 039;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;4;4;4;5;5;4;4;5;4;3;5;4;5;4;3;6;1;5;5;4;4;4;5;1;2;5;4;4
303;validation;student;female;16-20;young;collegevocational;student; ;4;3;5;4;5;3;4;3;4;3;2;5;3;3;4;5;2;3;4;4;2;3;4;2;4;5;3;3;2;5;4;3
499;validation;company;female;56-65;old; ;working;employee;3;4;3;4;2;3;2;3;4;5;4;4;3;4;5;2;5;5;3;3;2;3;4;5;3;3;5;3;2;2;3;3
125;validation;daycare;female; ; ;collegevocational;working;manager;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;3;3;3;3;4;3;5;3;5;1;1;4;4;4
1 161;validation;daycare;female; ; ;collegevocational;working;manager;5;5;4;6;6;3;6;5;4;5;4;5;5;4;5;4;5;5;3;6;3;5;5;4;5;4;5;2;2;5;5;5
1 208;validation;student;female;46-55;old;academic;working; ;3;5;3;5;5;4;5;3;3;4;5;5;3;3;5;3;5;5;3;4;2;3;5;3;4;4;5;3;3;2;4;4
863;validation;daycare;female; ; ;collegevocational;working;manager;5;4;5;5;4;5;4;5;5;4;5;5;4;4;5;5;6;5;2;5;1;5;5;4;;4;5;1;1;5;5;5
876;validation;daycare;female; ; ;collegevocational;working;employee;4;4;5;5;3;3;4;3;6;6;6;5;3;4;3;3;3;4;2;4;3;3;4;3;4;6;5;2;4;4;4;5
315;validation;company;female;56-65;old; ;working;employee;4;4;4;5;3;5;4;5;4;5;5;4;3;5;5;4;5;4;2;4;1;5;5;4;5;5;4;1;2;5;4;4
281;validation;student;female;46-55;old;collegevocational;working; ;1;3;3;3;4;5;4;2;5;5;4;3;3;3;3;2;4;3;4;3;3;5;4;3;3;3;4;6;5;1;3;3
250;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;5;4;5;4;4;5;3;4;4;3;5;3;4;4;1;5;0;5;5;4;4;4;5;1;1;5;5;4
1 145;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;5;5;4;5;5;4;5;5;3;5;4;4;5;0;6;1;6;5;4;5;5;5;0;0;6;5;5
491;validation;daycare;female; ; ;collegevocational;working;employee;3;4;4;3;4;4;6;5;4;5;4;5;3;4;5;4;5;5;3;6;2;4;5;3;4;3;5;1;1;5;4;4
328;validation;student;female;36-45;old;collegevocational;working; ;4;5;4;4;4;4;5;4;4;4;5;4;4;3;5;3;;5;1;5;3;4;5;4;6;4;5;2;1;4;4;6
573;validation;student;female;21-25;young;academic;student; ;5;5;5;5;5;4;5;4;4;4;4;6;3;3;5;5;6;4;3;4;3;4;5;5;5;5;4;2;3;5;4;4
778;validation;student;female;21-25;young;collegevocational;student; ;4;3;3;5;4;4;3;4;4;4;4;3;3;3;4;2;4;5;3;4;4;4;4;3;4;3;2;4;3;3;2;2
8;validation;daycare;female; ; ;collegevocational;working;employee;4;4;5;5;5;3;3;4;5;5;5;4;4;4;5;3;5;3;3;5;2;5;5;4;4;4;4;3;2;4;4;4
954;validation;company;female;46-55;old; ;working;employee;5;4;5;5;5;4;4;3;5;5;5;6;5;5;5;4;6;5;3;5;1;6;6;4;5;3;6;1;0;4;5;3
346;validation;company;female;46-55;old; ;working;employee;4;5;3;3;5;4;5;4;3;4;6;5;2;6;5;3;4;5;1;5;4;4;4;3;3;4;5;2;1;4;4;5
337;validation;daycare;female; ; ;collegevocational;working;employee;3;4;4;5;5;3;5;4;5;5;5;4;4;3;5;3;3;4;3;4;1;4;4;3;3;4;4;3;2;4;;3
189;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;6;4;6;5;6;6;5;5;4;3;5;4;5;4;2;5;1;4;6;4;5;5;6;1;1;5;5;5
577;validation;student;female;56-65;old;academic;other; ;4;4;4;4;3;4;4;4;4;4;5;5;3;4;4;4;3;4;2;4;1;4;5;5;4;4;4;3;3;4;4;3
1 106;validation;company;female;46-55;old; ;working;manager;5;4;5;5;5;4;4;6;5;3;4;5;4;5;4;4;6;5;4;4;4;4;4;4;4;4;4;3;2;4;5;6
340;validation;daycare;female; ; ; ;working;employee;4;5;5;5;5;3;5;4;5;5;3;4;5;5;4;3;3;4;3;4;3;4;4;5;4;4;5;2;1;4;5;4
418;validation;company;female;56-65;old; ;working;employee;3;5;4;4;3;4;5;4;5;4;5;4;3;4;4;3;5;5;3;4;1;5;4;3;5;4;5;1;2;3;4;4
613;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;4;4;5;4;6;4;4;4;4;3;4;4;4;5;1;4;1;5;5;4;5;4;5;0;3;5;5;5
625;validation;daycare;female; ; ;collegevocational;working;manager;4;4;5;4;4;4;4;4;6;4;4;4;4;4;5;4;4;4;3;5;1;5;4;4;5;4;4;2;2;5;4;4
290;validation;company;female;56-65;old; ;working;employee;4;4;4;4;4;4;5;4;4;5;3;4;3;5;5;3;5;4;3;5;1;5;5;1;4;6;5;1;1;5;5;5
643;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;5;5;5;5;5;5;4;6;5;4;5;5;5;5;1;5;3;5;5;5;5;5;5;1;1;5;5;4
596;validation;daycare;female; ; ;collegevocational;working;employee;3;;3;4;3;3;4;3;4;4;4;3;3;3;4;3;3;4;4;4;4;4;5;2;4;4;4;3;3;4;4;3
341;validation;company;female;36-45;old; ;working;employee;6;6;6;3;6;6;6;4;5;5;5;5;6;5;5;1;2;4;3;3;3;4;4;4;4;5;3;1;3;5;5;6
205;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;1;4;3;5;4;3;5;5;6;1;0;4;5;4
344;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;5;4;4;4;4;5;5;5;3;3;5;4;5;5;3;5;3;5;5;4;5;5;5;2;2;5;5;4
471;validation;company;female;36-45;old; ;working;employee;4;3;4;4;4;1;3;4;4;4;4;4;3;4;4;3;3;3;3;2;3;4;4;3;4;4;3;1;4;4;4;4
1 122;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;4;6;4;5;5;5;4;3;4;4;5;4;4;3;5;2;3;4;4;4;5;5;2;0;3;5;6
357;validation;daycare;female; ; ;collegevocational;working;employee;4;3;3;5;3;4;4;4;3;4;5;4;5;5;5;3;4;4;2;4;3;4;4;3;4;4;4;3;3;4;4;4
823;validation;student;female;66-;old;academic;other; ;6;5;5;5;6;6;5;5;5;5;;5;4;4;5;5;6;5;1;5;3;5;4;5;6;5;5;1;3;4;4;6
361;validation;company;female;56-65;old; ;working;manager;5;5;4;5;6;5;6;4;5;5;6;4;4;4;5;2;5;6;3;5;4;4;5;3;5;4;5;2;3;5;4;5
1 005;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;4;5;3;5;5;4;6;6;4;4;4;4;6;5;3;5;2;6;4;4;5;3;5;1;3;4;5;4
20;validation;company;female;66-;old; ;working;employee;5;5;4;4;5;5;6;5;5;4;6;5;3;4;3;4;5;6;2;5;2;5;4;3;4;4;5;1;1;4;4;5
684;validation;company;female; ; ; ;working; ;3;4;3;4;3;4;3;4;3;3;4;4;3;3;3;3;5;4;3;5;3;4;4;3;4;3;5;3;3;3;4;3
546;validation;daycare;female; ; ;collegevocational;working;employee;4;3;4;5;3;4;4;4;4;5;5;4;3;3;5;3;5;3;3;5;2;4;5;4;4;5;4;3;2;3;4;5
623;validation;student;female;46-55;old;academic;working; ;4;4;4;5;4;4;4;4;4;5;4;4;4;4;5;3;5;4;3;4;2;4;4;4;4;4;4;1;1;5;4;3
65;validation;daycare;female; ; ;collegevocational;working;employee;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;0;6;1;6;6;6;6;5;6;0;0;5;6;6
137;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;4;5;4;4;4;6;5;5;5;5;4;5;4;4;4;1;5;1;5;4;5;5;5;5;1;1;5;5;5
881;validation;student;female;16-20;young;academic;student; ;3;4;3;3;4;4;4;4;3;3;5;3;2;3;4;3;5;5;3;5;5;5;3;4;4;3;5;1;2;3;4;4
1 022;validation;company;female;46-55;old; ;working;employee;5;4;3;5;5;5;4;5;3;5;5;5;3;3;4;5;5;5;3;4;3;5;5;3;5;4;4;1;3;5;3;5
64;validation;daycare;female; ; ;collegevocational;working;manager;3;3;3;4;4;3;4;4;5;5;4;4;3;3;5;3;4;5;3;5;0;4;4;3;5;4;4;3;2;4;4;4
856;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;4;4;4;5;6;5;5;5;4;4;6;0;6;6;1;6;2;6;6;3;5;4;5;3;0;4;5;5
651;validation;daycare;female; ; ; ;working;employee;4;3;3;5;3;2;3;3;3;4;2;5;2;4;5;4;3;5;2;4;3;5;4;3;3;4;4;2;3;4;4;4
375;validation;student;female;21-25;young;academic;student; ;5;3;5;3;6;3;5;1;3;5;5;6;4;3;5;3;6;2;6;5;5;4;3;3;4;4;2;2;4;2;3;4
441;validation;student;female;26-30;young;academic;student; ;4;4;4;6;6;3;;5;4;5;4;5;5;3;5;4;5;5;2;5;1;5;5;4;3;;3;1;2;5;4;4
363;validation;student;female;16-20;young;academic;student; ;4;3;5;5;5;4;4;5;2;5;3;4;1;3;5;3;4;5;2;3;2;5;5;5;5;4;4;2;3;5;4;4
871;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;4;4;;5;5;5;4;5;5;4;3;4;3;5;5;3;5;3;5;4;4;4;4;5;3;2;5;5;4
937;validation;student;female;36-45;old; ;working; ;5;5;4;4;2;3;4;4;5;4;4;4;4;2;4;2;3;3;3;4;2;4;3;3;4;3;3;3;3;2;3;5
611;validation;daycare;female; ; ;collegevocational;working;employee;5;4;5;5;5;5;6;5;5;4;4;4;5;4;5;5;6;5;3;5;4;5;5;3;6;4;5;3;3;4;4;5
1 125;validation;daycare;female; ; ; ;working;employee;5;5;5;4;5;4;5;5;5;5;3;5;3;5;5;3;4;5;1;6;1;5;5;4;5;5;5;1;1;5;5;4
457;validation;student;female;21-25;young;collegevocational;student; ;4;5;4;5;5;2;4;4;5;4;4;4;3;3;4;3;4;5;3;5;4;5;5;4;5;4;5;2;2;3;5;3
1 205;validation;daycare;female; ; ;collegevocational;working;employee;3;4;4;5;4;4;3;3;5;4;6;5;3;5;6;3;4;6;3;4;6;4;5;3;4;4;5;1;3;5;4;4
888;validation;student;female;31-35;old;academic;working; ;5;6;6;5;6;6;6;5;6;6;5;6;3;4;6;5;6;6;0;6;1;6;6;;6;5;6;0;1;6;5;6
430;validation;daycare;female; ; ;collegevocational;working;employee;5;4;5;5;5;4;5;5;5;6;6;6;5;5;5;3;4;5;1;5;1;5;5;4;4;5;5;0;0;4;5;6
946;validation;company;female; ; ; ;working; ;4;4;4;4;2;3;5;4;6;6;3;5;1;3;4;3;5;4;1;4;3;3;4;5;5;3;5;3;1;4;5;5
514;validation;daycare;female; ; ; ;working;employee;5;5;4;5;5;4;6;5;4;6;4;6;5;4;5;4;4;6;1;6;1;5;6;5;5;4;5;;1;5;5;5
115;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;4;4;4;4;5;5;4;4;4;4;5;4;4;4;3;5;3;5;5;3;5;4;5;3;2;5;;5
1 153;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;4;4;4;4;5;5;5;4;3;3;5;4;4;3;3;4;3;4;5;3;4;4;4;3;2;4;4;4
40;validation;daycare;female; ; ;collegevocational;working;manager;4;4;4;4;5;4;5;4;5;5;5;5;5;5;4;4;4;4;2;5;1;4;5;4;4;4;5;1;1;4;4;5
473;validation;company;female;66-;old; ;working;employee;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;3;5;4;4;5;4;4;3;3;5;4;4
426;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;4;4;4;4;4;5;3;5;3;3;5;4;5;5;3;5;2;5;4;4;5;3;4;2;3;4;4;4
121;validation;daycare;female; ; ;collegevocational;working;employee;3;3;3;3;3;3;3;3;4;4;3;4;3;3;3;2;4;4;4;3;4;3;4;3;4;3;5;4;2;3;4;3
48;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;4;4;5;4;5;4;3;5;4;4;5;3;4;4;2;;1;4;5;3;5;4;4;1;2;5;4;5
174;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;1;5;4;5;5;5;5;5;4;1;1;5;5;5
1 165;validation;company;female;36-45;old; ;working;employee;5;5;4;5;4;4;3;5;4;4;4;4;4;3;4;4;5;5;3;5;2;4;4;4;3;3;5;2;2;4;5;5
347;validation;company;female;26-30;young; ;working;employee;2;3;3;2;5;2;6;3;4;4;5;2;2;3;4;1;3;5;2;3;5;3;4;2;2;3;5;3;4;4;3;5
1 045;validation;company;female;36-45;old; ;working;employee;5;6;5;4;6;5;6;4;4;4;5;6;5;4;3;3;5;4;1;5;4;4;5;4;4;5;5;6;3;4;4;6
1 074;validation;daycare;female; ; ;academic;working;employee;5;4;4;4;4;3;3;4;4;4;4;4;5;4;4;3;3;4;3;4;3;5;4;3;4;4;4;3;2;4;4;4
776;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;4;5;5;5;4;5;4;5;4;4;4;4;4;5;4;2;5;1;4;5;4;4;;5;1;1;4;4;5
177;validation;daycare;female; ; ;collegevocational;working;employee;5;5;4;6;6;6;5;4;5;5;3;5;3;3;6;4;5;4;3;5;2;6;6;3;6;4;5;1;2;4;5;5
1 032;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;6;5;5;5;5;5;5;4;5;5;5;3;6;6;3;5;3;6;4;4;5;5;5;5;1;4;5;5
766;validation;student;female;26-30;young;academic;student; ;3;4;4;4;4;2;4;3;3;2;1;2;1;3;6;3;3;4;4;4;2;4;5;3;5;2;5;3;5;3;4;2
1 210;validation;daycare;female; ; ;academic;working;employee;4;4;5;4;5;4;4;4;5;5;5;5;4;4;5;4;5;5;3;4;3;4;5;4;4;3;5;2;1;4;4;4
1 056;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;4;4;3;5;4;4;4;4;4;4;4;4;4;4;4;2;4;1;4;4;3;4;5;5;1;2;4;5;5
439;validation;company;female;26-30;young; ;working;employee;3;2;4;3;3;2;5;4;1;4;4;4;1;2;5;4;6;6;2;6;1;1;6;3;5;3;6;3;4;4;5;2
498;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;5;5;5;5;5;5;5;4;;4;5;5;6;5;2;5;4;4;4;5;5;4;2;0;1;6;4;5
671;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;6;5;5;4;5;4;4;4;4;4;4;5;6;5;1;4;1;6;5;4;5;4;4;1;1;5;4;5
693;validation;company;female;31-35;old; ;working;employee;5;4;4;4;3;4;4;5;4;4;6;4;5;4;4;4;4;4;2;5;2;4;4;2;5;3;5;3;2;4;5;5
666;validation;daycare;female; ; ;collegevocational;working;employee;5;4;5;5;5;4;5;4;5;4;3;5;4;;5;4;5;4;2;4;2;5;5;5;5;4;6;2;2;4;5;4
830;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;4;6;4;6;5;6;6;5;4;5;6;5;6;5;3;6;3;5;6;5;6;6;5;1;3;3;5;5
775;validation;student;female;21-25;young;collegevocational;student; ;5;5;5;4;4;3;4;4;5;4;5;5;4;5;4;4;4;4;4;4;5;4;4;5;5;5;5;2;5;3;4;5
640;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;5;4;5;5;6;6;6;5;4;5;6;3;5;5;1;5;2;4;5;5;5;5;4;0;;2;6;5
66;validation;daycare;female; ; ;collegevocational;working;employee;4;5;5;5;5;3;6;6;6;2;3;3;4;3;5;2;5;6;2;6;3;6;4;0;4;5;6;5;1;3;5;6
1 142;validation;daycare;female; ; ;collegevocational;working;employee;4;4;5;5;4;3;5;5;5;4;4;4;4;2;4;3;5;6;2;5;1;4;5;4;5;5;5;1;1;5;5;5
1 146;validation;daycare;female; ; ;collegevocational;working;manager;4;4;4;5;4;4;5;4;5;5;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4;4;5;1;2;4;4;4
850;validation;daycare;female; ; ;collegevocational;working;employee;4;6;5;5;6;4;6;5;;6;6;6;3;3;6;5;5;6;0;6;2;6;6;5;5;5;6;0;1;5;5;6
448;validation;company;female;31-35;old; ;working;employee;4;4;4;4;4;4;5;6;5;5;3;4;3;4;5;3;4;4;3;5;2;4;5;4;5;4;5;1;2;5;5;5
803;validation;daycare;female; ; ;collegevocational;working;manager;4;4;4;5;3;4;4;5;5;5;5;4;4;4;5;2;4;3;1;5;2;4;4;4;4;3;5;1;1;4;5;5
1 037;validation;company;female;56-65;old; ;working;employee;3;3;4;4;4;3;3;2;5;4;3;3;3;3;3;3;3;3;3;4;2;2;4;3;3;2;4;3;2;3;4;4
551;validation;daycare;female; ; ; ;working;manager;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;1;5;1;5;5;5;5;5;5;0;1;5;5;5
1 169;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;5;6;5;6;6;5;4;4;4;5;4;5;5;5;4;1;6;1;5;5;4;5;5;5;1;0;5;5;5
1 069;validation;student;female;21-25;young;academic;student; ;4;5;4;5;4;4;4;5;4;5;5;5;3;5;4;5;5;4;2;4;3;5;5;4;6;4;5;1;2;4;4;4
1 162;validation;student;female;21-25;young;academic;student; ;5;6;5;5;5;4;3;4;5;4;6;5;3;4;5;5;6;3;3;6;2;6;4;5;6;4;6;1;2;4;5;6
791;validation;daycare;female; ; ;collegevocational;working;employee;3;4;4;4;3;3;3;3;4;4;4;4;3;3;5;3;4;5;2;5;2;4;5;4;4;4;4;3;2;4;4;3
412;validation;student;female;21-25;young;collegevocational;student; ;3;4;5;4;3;4;4;4;3;5;5;4;4;4;6;3;4;5;1;5;3;3;5;5;5;3;4;1;3;4;5;4
909;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;5;5;5;4;5;5;4;3;5;3;3;5;4;4;3;3;4;4;5;5;5;5;3;5;2;3;4;4;4
338;validation;daycare;female; ; ;collegevocational;working;employee;4;4;4;5;6;3;5;5;4;6;4;5;4;3;6;3;6;6;2;5;3;4;5;4;5;3;5;1;1;4;4;4
440;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;6;5;6;5;5;5;4;5;5;4;5;4;5;6;1;5;2;5;6;4;5;5;5;0;1;6;5;5
901;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;4;3;4;5;4;5;4;4;5;5;3;5;2;4;4;3;6;3;4;5;5;5;5;3;2;1;5;4;5
566;validation;daycare;female; ; ;collegevocational;working;employee;3;3;4;4;5;5;3;5;3;6;4;4;1;5;5;5;5;6;1;6;3;5;5;3;5;3;4;4;3;5;4;3
1 163;validation;daycare;female; ; ;collegevocational;working;manager;5;5;5;5;5;4;5;5;6;5;5;5;5;4;5;4;5;6;3;5;2;5;5;4;5;4;6;1;1;4;4;5
485;validation;student;female;21-25;young;collegevocational;student; ;5;4;5;;;3;;4;1;;4;5;3;4;6;5;4;6;4;5;;5;5;4;6;3;;5;4;3;4;3
998;validation;student;female;36-45;old;academic;working; ;4;4;4;6;5;5;5;2;5;5;5;4;4;5;5;4;5;3;3;5;2;4;4;4;4;5;4;1;1;4;3;4
368;validation;company;female;31-35;old; ;working;employee;5;5;5;4;5;5;5;5;5;4;4;4;5;5;5;4;5;6;2;5;2;5;5;4;4;5;5;1;1;5;5;5
916;validation;daycare;female; ; ;collegevocational;working;employee;5;5;5;6;6;5;6;4;6;5;3;5;3;4;4;4;4;4;2;6;3;5;5;4;6;5;5;1;1;5;5;6
