case;set;source;sex;age;agecat;education;profstatus;position;si1;si2;si3;si17;si13;si14;si15;si4;si25;si5;si26;si6;si27;si28;si7;si18;si20;si21;si9;si10;si11;si22;si8;si23;si19;si16;si29;si30;si12;si24;si31;si32
317;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;6;5;5;4;4;5;4;4;5;5;4;5;4;4;4;3;5;2;4;4;4;5;5;4;2;1;5;4;5
575;validation;student;female;46-55;old;academic;working; ;4;4;5;4;3;4;3;4;5;5;5;5;3;4;5;5;4;5;3;6;3;4;6;4;5;4;4;3;3;2;4;3
560;validation;student;female;46-55;old;collegevocational;other; ;5;5;5;5;6;6;6;5;6;5;6;6;5;5;6;5;6;6;3;6;1;5;6;4;6;5;5;0;0;5;5;6
673;validation;student;female;31-35;old;academic;working; ;5;5;5;5;5;4;5;5;5;5;4;5;4;4;4;4;4;4;2;5;3;4;4;4;5;5;4;1;2;4;4;5
752;validation;daycare;female; ; ;academic;working;employee;6;5;5;6;6;6;6;5;5;6;5;6;5;5;6;5;6;5;1;5;1;5;6;5;6;5;5;1;1;5;4;5
1 033;validation;student;female;36-45;old;collegevocational;working; ;3;4;4;5;5;5;5;4;5;4;4;4;4;4;5;4;6;6;1;5;2;4;5;4;5;4;4;1;1;4;2;4
780;validation;daycare;female; ; ;collegevocational;working;employee;3;5;3;6;6;5;6;4;5;5;4;4;4;4;4;4;6;4;3;5;3;5;4;4;5;5;5;0;0;6;4;5
1 044;validation;daycare;female; ; ;collegevocational;working;employee;4;5;4;4;5;5;5;4;6;3;4;4;3;2;3;4;3;3;3;4;5;4;3;2;4;3;5;0;3;4;4;5
316;validation;student;female;21-25;young;academic;student; ;4;4;4;3;3;3;4;4;3;4;4;4;2;3;4;3;4;4;4;4;3;4;5;4;4;3;4;2;3;3;4;3
587;validation;student;female;21-25;young;collegevocational;student; ;5;5;5;4;5;4;3;4;5;4;3;4;2;4;5;5;6;6;2;3;3;6;5;5;6;3;5;1;3;5;2;4
747;validation;company;female;36-45;old; ;working;employee;4;5;4;5;5;4;6;5;4;5;6;4;4;4;4;3;5;4;2;5;2;4;4;4;4;3;;2;2;4;5;5
922;validation;daycare;female; ; ;collegevocational;working;manager;5;5;5;5;5;5;5;5;6;5;5;4;5;4;5;5;5;5;1;6;1;5;5;4;5;4;6;1;1;5;4;6
869;validation;student;female;36-45;old;academic;working; ;5;6;5;6;6;4;5;5;3;5;5;6;5;5;5;6;3;4;1;5;1;4;6;5;4;5;6;1;1;5;5;5
432;validation;daycare;female; ; ;collegevocational;working;employee;4;4;5;4;4;3;3;5;5;5;4;6;3;3;5;4;3;4;3;6;1;4;5;4;5;4;4;1;2;5;4;5
