Id      	Gender  	Age     	G1      	G2      	G3      	G4      	G5      	G6      	G7      	G8      	G9      	G10     	G11     	GamblF  	GFalla  	SensaS  	SuperS  	EconG   	PareG   	PeerG   	Nsymp   	P3prob  	P2prob  
     41	  2	 14.16666667	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	 19	 14	 43	  0	  0	  3	  1	  1
     42	  1	 14.25000000	  2	  1	  1	  0	  0	  0	  1	  0	  2	  3	  0	 10	  6	 28	 21	 33	  1	  1	  0	  0	  0
     43	  1	 14.25000000	  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  2	  6	 21	 21	 32	  0	  1	  0	  0	  0
     44	  2	 14.25000000	  4	  1	  2	  0	  0	  1	  2	  0	  0	  0	  0	 10	  2	 35	 23	 35	  1	  0	  0	  2	  1
     45	  2	 14.25000000	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  5	 22	 17	 36	  1	  0	  0	  0	  0
     46	  2	 14.25000000	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  1	  2	 22	 23	 34	  0	  0	  0	  0	  0
     47	  2	 14.25000000	  0	  0	  0	  2	  0	  0	  0	  0	  2	  0	  0	  4	  6	 31	 13	 32	  1	  0	  0	  0	  0
     48	  2	 14.25000000	  4	  0	  0	  0	  0	  2	  2	  0	  1	  1	  1	 11	  2	 31	 20	 35	  1	  0	  1	  2	  1
     49	  2	 14.25000000	  0	  0	  2	  0	  0	  1	  0	  0	  0	  0	  0	  3	  4	 21	 25	 40	  0	  1	  0	  0	  0
     50	   	 14.33333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  2	  6	 29	 25	 36	  1	  1	  0	  0	  0
     51	  1	 14.33333333	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	 15	 18	 37	  0	  1	   	   	   
     52	  1	 14.33333333	  3	  0	  0	  2	  0	  0	  0	  3	  1	  1	  0	 10	  2	 29	 18	 34	  0	  1	  0	  0	  0
     53	  1	 14.33333333	  3	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  4	  2	 18	 16	 45	  0	  0	  0	  0	  0
     54	  1	 14.33333333	  1	  0	  1	  0	  0	  1	  0	  0	  0	  0	  0	  3	  6	 21	 21	 34	  0	  1	  0	  0	  0
     55	  1	 14.33333333	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  0	  2	   	 25	 24	 42	  0	  0	  0	  0	  0
     56	  1	 14.33333333	  1	  1	  1	  1	  0	  0	  0	  0	  2	  1	  0	  7	  6	 30	  8	 40	  0	  0	  2	  1	  1
     57	  1	 14.33333333	  4	  3	  3	  3	  3	  2	  1	  4	  4	  4	  4	 35	  1	 30	 24	 35	  0	  1	  6	  2	  1
     58	  1	 14.33333333	  1	  0	  3	  1	  0	  1	  2	  2	  2	  2	  2	 16	  6	 31	 10	 29	  1	  1	  0	  0	  0
     59	  1	 14.33333333	  1	  0	  2	  2	  0	  0	  0	  1	  1	  1	  0	  8	  6	 22	 19	 33	  1	  1	  1	  0	  0
     60	  1	 14.33333333	  4	  0	  1	  3	  0	  0	  0	  1	  0	  0	  1	 10	  1	 18	 14	 25	  1	  1	  3	  2	  1
     61	  2	 14.33333333	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  0	  2	  6	 29	 15	 40	  0	  0	   	   	   
     62	  2	 14.33333333	  3	  2	  0	  0	  0	  0	  0	  0	  1	  0	  0	  6	  6	 21	 21	 40	  1	  0	  0	  0	  0
     63	  2	 14.33333333	  1	  2	  0	  1	  1	  3	  0	  0	  2	  1	  1	 12	  6	 29	 25	 39	  0	  1	  0	  0	  0
     64	  2	 14.33333333	  2	  1	  0	  0	  0	  2	  2	  0	  2	  1	  0	 10	  6	 21	   	 32	  0	  1	  0	  0	  0
